,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
131,131,58653,Where is Homeobox protein DLX-4 found ?,house mouse,2643,Which person was the supervisor of Manolis Andronikos ?,John Beazley
132,132,59011,Which taxon does ATP-dependent DNA helicase UvrD    CLC_2031 belong to ?,Clostridium botulinum A str. Hall,5822,Which person was advised by Richard Lindner ?,Nancy Grossman
133,133,59149,"Where is NAD-dependent protein lipoamidase sirtuin-4, mitochondrial found ?",house mouse,7116,Which person is a student of Petrarch ?,Giovanni Malpaghini
134,134,59734,Where is Ras-related protein Rap-1A found ?,Homo sapiens,7302,Who was the teacher of Robert Stolz ?,Robert Fuchs
135,135,60677,Where is Transmembrane emp24 domain-containing protein 11 found ?,house mouse,7905,Who is a pupil of David ?,Ahijah the Shilonite
136,136,61131,Which taxon is Ras-GEF domain-containing family member 1A found in ?,Homo sapiens,17885,Who taught Hubert Kiesewetter ?,Karl Popper
137,137,61400,Which taxon is adenylosuccinate lyase    Cj1394 found in ?,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,2123,Which musical instrument can Jérôme Pernoo perform with ?,cello
138,138,63072,Which taxon is gamma-aminobutyrate transporter    ECIAI39_2851 found in ?,Escherichia coli IAI39,4278,Which musical instrument does Éric Teruel know to play ?,piano
139,139,63415,Where is F0F1 ATP synthase subunit epsilon    ECIAI39_4335 found ?,Escherichia coli IAI39,6665,Which musical instrument is played by Maurice Baquet ?,cello
140,140,64230,Where is glycerol kinase    DVU3134 found ?,Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough,2670,What was built by South Korea ?,Tomas Batillo-class patrol craft
141,141,104,What is Johnny Brooks a member of ?,England national football team,2880,Which software is the producer of Nintendo DS ?,Nintendo
142,142,1999,Which sports team has Eberhard Janotta as its member ?,Stahl Hennigsdorf Rugby,4958,Which ship type was manufactured by Spain ?,Ictineo II
143,143,176,Which language is Darío Fernández capable of writing ?,Spanish,6435,Which organization is the manufacturer of RMS Aquitania ?,John Brown & Company
144,144,281,Which language can Elsa Cross understand ?,Spanish,6787,What was produced by United Kingdom ?,Japanese warship Hōshō
145,145,1133,Which language is spoken by Nino Tamassia ?,Italian,25029,Who is the maker of Wii ?,Hon Hai Precision Industry
146,146,1699,Which language does Norman Naimark speak in ?,English,5616,Who was the chairperson of Massachusetts Institute of Technology ?,L. Rafael Reif
147,147,8020,Which language family can Aida Touma-Suleiman understand ?,Hebrew,9359,Which nonprofit organization is Elizabeth II a chairperson of ?,Royal Society for the Prevention of Cruelty to Animals
148,148,34252,Who talks in Turkey ?,Tsetska Tsacheva,9974,Who was the chair of Democratic Party ?,Debbie Wasserman Schultz
149,149,155,Which party is Ramón Rosa affiliated with ?,Liberal Party of Honduras,10203,Which association has Josef Ertl as its chairperson ?,FDP Bayern
150,150,403,Which party does Josef Böhm belong to ?,Independent Social Democratic Party of Germany,13195,Who chaired Nazi Party ?,Anton Drexler
151,151,511,Which political party is Hans Daniels a member of ?,Christian Democratic Union,18385,Which political organization does Iran lead ?,Socialist Workers’ Party of Iran
152,152,43751,Which party is Charles S. Whitman affiliated with ?,Republican Party,18541,Which international organization does Elizabeth II serve as a chairman for ?,Commonwealth of Nations
153,153,2132,Who shares the border with Val Müstair ?,Valdidentro,2137,Who serves as the distributor of Post Mortem ?,Microïds
154,154,4804,Which administrative territory is bordered by Ratingen ?,Düsseldorf,3728,Who is Red Orchestra 2: Heroes of Stalingrad distributed by ?,Valve Corporation
155,155,5146,Which administrative country subdivision is adjacent to New Delhi ?,Central Delhi district,7378,Who has Japan as its distributor ?,Dance Dance Revolution SuperNova
156,156,12443,Which state does Kingdom of Prussia share a border with ?,Austrian Empire,8404,Who distributes Resident Evil: Revelations 2 ?,Capcom
157,157,41535,Which administrative territory shares border with Mülheim an der Ruhr ?,Oberhausen,20827,Which application is Japan a distributor of ?,Dance Dance Revolution SuperNova
158,158,45502,Which city is next to the border of Mainz ?,Wiesbaden,26202,Who does United States of America serve as a distributor for ?,High School Musical 2
159,159,178,Which school is George Nares an alumni of ?,Royal Naval School,21807,Which political territory has diplomatic relationships with Hungary ?,Germany
160,160,217,Which university is the alma mater of Harold V. Schoenecker ?,Marquette University Law School,35353,Which regime has diplomatic relations with Czechoslovakia ?,Belarusian People's Republic
161,161,786,"Where was Sir John St Aubyn, 3rd Baronet educated ?",Exeter College,7007,Which tower block has its designs created by John Mead Howells ?,Daily News Building
162,162,922,What is the nonprofit organization where Careen M. Gordon was educated ?,John Marshall Law School,9201,Which person designed the architecture of Nottingham Cathedral ?,Augustus Pugin
163,163,1540,Which educational institution was Kieran Marmion educated at ?,Kirkham Grammar School,12426,Which tower block was England the designer of ?,UBL Tower
164,164,12245,What is the school where Johanna Petronella Catharina Antoinetta Koster was educated ?,Académie Julian,14305,What was Heikki Taskinen an architect of ?,Pitkäkangas School
165,165,19622,Who was a student at teacher ?,Fortino Gómez Salazar,14840,Who architected St Beuno's Ignatian Spirituality Centre ?,Joseph Hansom
166,166,20488,Which nonprofit organization was Chang Tsung-hsien educated at ?,Brigham Young University Hawaii,15355,Who is the architect of Einsteinhaus Caputh ?,Konrad Wachsmann
167,167,21448,Who was educated at India ?,D N Dhanagare,16674,What was designed by France ?,Amar Mahal Palace
168,168,41724,Who is an alumni of India ?,D N Dhanagare,56591,Who is the designer of Père Lachaise Cemetery ?,Alexandre-Théodore Brongniart
169,169,54172,What is the high school where Sheldon Leonard was educated?,Stuyvesant High School,2448,Which person was the doctoral advisor of James S. Langer ?,Rudolf Peierls
170,170,56316,Who studied at Australia ?,Jennifer Gidley,11496,Which person has Gian-Carlo Rota as doctoral advisor ?,Richard P. Stanley
171,171,90,Which name is associated with Wilhelm Bauer ?,Bauer,14731,Who has Åke Pleijel as advisor for his/her doctoral work ?,Jaak Peetre
172,172,133,Who has the surname Tony James ?,James,1038,Which cultural movement was Saint Jerome in a Cave linked with ?,German Renaissance
173,173,14607,Who is associated with Dominique Janssen ?,Janssen,2358,Which concept was Giovanni Battista Buonamente associated with ?,baroque music
174,174,203,Which surface is Antarctica a component of ?,Earth's surface,5353,Which abstract noun did Etienne Vermeersch belong to,atheism
175,175,673,What is film director a part of ?,film crew,6504,Which technics was collage associated with ?,appropriation
176,176,1871,What are a component of Harvard University ?,President of Harvard University,21031,Which periodical literature is associated with Christianity ?,First Things
177,177,4081,Which research institute is a portion of Tufts University ?,Global Development and Environment Institute,28236,Which person is linked with Marxism–Leninism ?,Carlos the Jackal
178,178,4773,Which text is a part of mitochondrion ?,DNA,8898,Which abstract being is featured in The Nut Job ?,Raccoon
179,179,13171,What is a component of association football ?,association football match,12140,Which work is Pikachu present in ?,Pokémon
180,180,54146,What is member of the Chamber of Deputies of Chile a portion of ?,Chamber of Deputies,20646,Where does Stringer Bell appear ?,The Wire
181,181,231,What was received by Stirling Moss ?,Officer of the Order of the British Empire,27936,Which fictional character is present in Mother 3 ?,Lucas
182,182,1145,Which military decoration was Michael J. Connor awarded with ?,Legionnaire of Legion of Merit,37515,Which work features Pikachu ?,Pokémon
183,183,1262,What was awarded to Ursula Ragwitz ?,Banner of Labor,46022,Which fictional character appears in Garfield Gets Real ?,Garfield
184,184,1696,What was won by Rudolf Ising ?,Academy Award for Best Animated Short Film,49511,Which fictional mammal is from the works of The Monkey King ?,Sun Wukong
185,185,10032,Which business enterprise was honoured with Satellite Award for Best Miniseries ?,CBS,56291,Where is Pikachu shown in ?,Pokémon
186,186,525,Which nucleic acid sequence encodes Serine/threonine-protein kinase/endoribonuclease IRE2 ?,ERN2,391,Which person is a relative of Elizabeth II ?,Princess Charlotte of Cambridge
187,187,766,What is the gene that encodes Centrosomal protein of 70 kDa ?,Cep70,7492,Which fictional humanoid is related to Granny Smith ?,Apple Bloom
188,188,2770,What encodes Thromboxane A2 receptor ?,Tbxa2r,17550,Who is a kin of Miitta Sorvali ?,Tuomas Holopainen
189,189,3965,Which gene encodes Ino4p YOL108C ?,INO4,23547,Which person is related with Elisabeth of Bohemia ?,"John III, Burgrave of Nuremberg"
190,190,5365,Which gene encodes 30S ribosomal protein S7    CTL0697 ?,30S ribosomal protein S7 CTL0697,49184,Who are kins of Vladimir Putin ?,Roman Putin
191,191,6119,Which gene encodes putative rRNA methylase    EAE_06240 ?,putative rRNA methylase EAE_06240,3046,Which solution is used to construct Croatian Apoxyomenos ?,bronze
192,192,6340,What gene does Wnt2 encode ?,"Wingless-type MMTV integration site family, member 2",3294,Which rock is used to produce Orpheus ?,marble
193,193,13980,What encodes ATP-dependent DNA helicase RecG    CT1575 ?,ATP-dependent DNA helicase RecG CT1575,5192,Which artistic technique is constructed collage ?,Paesaggio Con Totem
194,194,15604,Which nutrient is encoded by tRNA pseudouridine synthase B    DR_1323 ?,TRNA pseudouridine synthase B DR_1323,12133,Which taxon is used to make The Flight into Egypt ?,Juglans
195,195,18835,"What encodes Solute carrier family 2, facilitated glucose transporter member 3 ?",SLC2A3,27971,Which material is used to manufacture Palazzetto dello Sport ?,concrete
196,196,20014,"Which gene encodes outer membrane protein assembly complex, YaeT protein    KPHS_09240 ?","outer membrane protein assembly complex, YaeT protein KPHS_09240",37353,Which work of art is used to craft The Room of Flemish School ?,watercolour
197,197,22703,Which gene encodes ATP-dependent Clp protease proteolytic subunit    SSA_1731 ?,ATP-dependent Clp protease proteolytic subunit SSA_1731,37949,Which artistic technique uses collage as its raw material ?,Paesaggio Con Totem
198,198,25257,What encodes 50S ribosomal protein L7/L12    SCO4653 ?,50S ribosomal protein L7/L12 SCO4653,638,Which coat of arms serves as the ensign for Moscow ?,coat of arms of Moscow
199,199,25674,Which gene encodes hypothetical protein    SAOUHSC_02750 ?,hypothetical protein SAOUHSC_02750,5551,Which business enterprise is licensed to broadcast to India ?,Red FM 93.5
200,200,29427,What is encoded by TAS2R41 ?,Taste 2 receptor member 41,6885,Which television channel is responsible for broadcasting to Netherlands ?,24Kitchen
201,201,29739,What encodes DNA-directed RNA polymerase III subunit RPC4 ?,Polr3d,45342,Where is BBC One permitted to broadcast as per its license ?,United Kingdom
202,202,30112,What encodes oligopeptide ABC transporter ATP-binding protein    SCO5479 ?,oligopeptide ABC transporter ATP-binding protein SCO5479,3154,What is the specific platform for which Actua Golf was released ?,PlayStation
203,203,32279,Which gene encodes Apoptosis regulator Bcl-2 ?,BCL2,35030,Which software component was developed for Google Chrome ?,WOT
204,204,37690,Which gene encodes RNA polymerase sigma-54 factor    SRU_1147 ?,RNA polymerase sigma-54 factor SRU_1147,2441,Who is the editor of The Rage: Carrie 2 ?,Richard Nord
205,205,39038,Which gene encodes L-lactate dehydrogenase    SSUBM407_0854 ?,L-lactate dehydrogenase SSUBM407_0854,3825,Which person edited Margot at the Wedding ?,Carol Littleton
206,206,39407,Which gene encodes D(2) dopamine receptor ?,DRD2,8883,What is the name of person who editted Paprika ?,Tinto Brass
207,207,41171,What encodes Peptidyl-prolyl cis-trans isomerase D ?,PPID,9553,Who has editted The Unknown ?,Irving Thalberg
208,208,47817,Which gene encodes tRNA (5-methylaminomethyl-2-thiouridylate) -methyltransferase    FN0765 ?,tRNA (5-methylaminomethyl-2-thiouridylate) -methyltransferase FN0765,3273,Which aerodrome serves Hasselt ?,Kiewit airfield
209,209,49557,What encodes heme exporter protein C    EAE_01240 ?,heme exporter protein C EAE_01240,4657,Which aerodrome is served by Derry ?,City of Derry Airport
210,210,50774,What encodes hypothetical protein    VPA0117 ?,hypothetical protein VPA0117,6445,Which aerodrome serves the place named Guangzhou ?,Guangzhou Baiyun International Airport (1933–2004)
211,211,51865,Which gene encodes Protein YIPF4 ?,Yipf4,8939,Which city does Seville serve ?,San Pablo Airport
212,212,52427,Which gene encodes 2-isopropylmalate synthase    gvip311 ?,2-isopropylmalate synthase gvip311,3468,Which family did Benedicta Henrietta of the Palatinate belong to ?,House of Hanover
213,213,55017,"Which gene encodes 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase    CTL0693 ?","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase CTL0693",5754,What is the family that Henry I of Navarre belongs to ?,House of Blois
214,214,55178,Which gene encodes Probable ATP-dependent RNA helicase DDX23 ?,DDX23,54383,"What is the royal family that Prince Richard, Duke of Gloucester is a part of ?",House of Windsor
215,215,55881,Which gene encodes sensor histidine kinase    BSU34710 ?,sensor histidine kinase BSU34710,4819,Which person was the first person to come up with piano ?,Bartolomeo Cristofori
216,216,56782,What encodes imidazole glycerol phosphate synthase subunit HisF    SMU_1264 ?,imidazole glycerol phosphate synthase subunit HisF SMU_1264,5548,Which Antarctic expeditions discovered or invented Antarctica ?,First Russian Antarctic expedition
217,217,58837,What encodes multi-sensor Signal transduction histidine kinase    Rru_A2516 ?,multi-sensor Signal transduction histidine kinase Rru_A2516,9580,What is the geographic location that Christoph Scheiner discovered ?,facula
218,218,58959,Which gene encodes two-component system sensor histidine kinase/response regulator    LB_290 ?,two-component system sensor histidine kinase/response regulator LB_290,18430,Who was the inventor or discoverer of piano ?,Bartolomeo Cristofori
219,219,61398,Which gene encodes adenylosuccinate lyase    Cj1394 ?,adenylosuccinate lyase Cj1394,25129,Which political system was invented or discovered by John Quincy Adams ?,Adams method
220,220,62935,Which gene encodes two component sensor histidine kinase    VF_A0265 ?,two component sensor histidine kinase VF_A0265,47797,What is the writing system that Carl Blegen invented ?,Minoan Linear B
221,221,63321,Which gene encodes Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ?,Slc9a3r1,53946,What was invented or discoverd by Napoleon ?,Napoleon's theorem
222,222,200,Where did Curt Weldon work ?,"Washington, D.C.",1206,Which people ends its journey at France ?,Georgians in France
223,223,508,What is the work location of Hermann Bachmaier ?,Bonn,5101,Which administrative country subdivision is the end point of 2015 Ster ZLM Toer ?,Boxtel
224,224,1226,What is the location where Wolf-Dieter Lutz worked ?,Hanover,5554,Which administrative territory marks the end of journey for 2002 Yukon Quest ?,Whitehorse
225,225,3450,Which person have Vitebsk as their work location ?,Kazimir Malevich,7061,Which people ends at France ?,Georgians in France
226,226,3904,Which person has Colombia as work location ?,Frank McClean,9054,Which recurring sporting event has Kraków as its destination point ?,2015 Tour de Pologne
227,227,5880,Who is an person who works at writer ?,Lidija Dimkovska,10435,Which people finally halts at France ?,Georgians in France
228,228,309,What can be considered as category for Signs of Life ?,drama film,24923,"Which political territory does 2016 Vuelta a España, Stage 16 finally stop at ?",Peniscola
229,229,1491,Which classification scheme is the genre for The Blonde Bombshell ?,television drama,40240,Where does the journey end for 2nd stage of the 2016 Tour de Pologne ?,Katowice
230,230,3955,What is the genre of Julia Lee Niebergall ?,ragtime,7511,Which sport did Fausto Acke participate in ?,discus throw
231,231,4126,Which business enterprise has entertainment as genre ?,Listamanía,17535,Which sport was Ndiss Kaba Badji a contender for ?,long jump
232,232,4279,Which genre does Éric Teruel belong to ?,classical music,26142,Which geographical object was a contestant in association football ?,De Studerendes Idræt Odense
233,233,10260,Which person as piano as its class ?,ONSOHO,40770,Which person participated in road bicycle racing ?,Luisa Daniela Hernandez
234,234,56366,Which collectable has President of the United States of America as genre ?,American Lion,42300,Which type of sport did Adri Schoeman compete in ?,200 metres
235,235,599,Which is the part that is a component of alanyl-tRNA synthetase    spr1240 ?,cytoplasm,53468,Which person competed in road bicycle racing ?,Luisa Daniela Hernandez
236,236,1553,Which is the cell component of cell division protein FtsZ    SSUBM407_0421 ?,cell division site,536,Which facility is Brown University the parent company of ?,Ladd Observatory
237,237,245,Which behavior has journalist as thier associated field of occupation ?,journalism,10452,Which organization contains Reebok as its subordinate ?,Adidas
238,238,481,Who is associated with the field of occupation mathematician ?,mathematics,17532,Which organization has Hoffmann as its subsidiary ?,C. Bechstein Pianofortefabrik
239,239,5491,Which occupation does harpsichord belong to ?,harpsichordist,18844,Which educational institution serves as a subsidiary of University of Pittsburgh ?,University of Pittsburgh at Titusville
240,240,5879,What is the occupation that writer belongs to ?,journalist,24699,Which organization is France Info the subsidiary of ?,Radio France
241,241,61921,Which occupation does collage belong to ?,collagist,26525,Which profession is a subordinate of Strategy First ?,Malfador Machinations
242,242,164,Which nucleic acid sequence encodes Vesicle transport protein SEC20 ?,BNIP1,28578,Which division is an auxiliary of Warner Bros. Records ?,Reprise Records
243,243,897,What is the nucleic acid sequence that is encoded by 5-hydroxytryptamine receptor 2A ?,HTR2A,9297,Which language is the mother tongue of Andy Mabbett ?,English
244,244,8208,What is encoded by 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase    RSP_2243 ?,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,188,What is the taxonomic type of Homo sapiens ?,Carl Linnaeus
245,245,9234,Which nutrient is fermentation/respiration switch protein    ECUMN_0305 an encoding of ?,Hydrolase ECUMN_0305,5923,What is the language of Perry ?,English
246,246,10503,Which nutrient is encoded by cardiolipin synthase Cls    LBA1236 ?,Cardiolipin synthase Cls LBA1236,5966,Which language is Brown composed in ?,English
247,247,17245,What is the nutrient encoded by alpha-glucosidase AglA    Rv2471 ?,Alpha-glucosidase AglA Rv2471,17210,Which periodical literature is in Spain ?,Unidad
248,248,23895,What does MFAP2 encode ?,Microfibril associated protein 2,45265,Which music genre is created in language Old Church Slavonic ?,Glagolitic Mass
249,249,393,Who has Arthur Blomfield as a child ?,Charles Blomfield,1979,Which person has Auguste Rodin as their teacher ?,Albert-Ernest Carrier-Belleuse
250,250,812,"Who is an offspring of Sir William Lemon, 1st Baronet ?",Charles Lemon,2455,Who was a notable student of Manolis Andronikos ?,John Beazley
251,251,1748,Which fictional humanoid is a child of Tywin Lannister ?,Cersei Lannister,14988,Who taught Jan Porcellis ?,Hendrick van Anthonissen
252,252,5063,Which person is a successor of François de Chabaud-Latour ?,Arthur de Chabaud-Latour,19135,Which person was a pupil of Martin Buser ?,Earl Norris
253,253,7529,Whose child is Marcus Valerius Messalla ?,Marcus Valerius Messalla,24679,Which person was Eudes Rigaud a student of ?,Alexander of Hales
254,254,11462,Which person has Wanyan Shensiabu as an offspring ?,Emperor Hailingwang of Jin,30485,Who was Duns Scotus a pupil of ?,William of Ockham
255,255,319,What is the country of origin of Ain't Had Enough Fun ?,United States of America,13730,"Who was elected in German presidential election, 1949 ?",Theodor Heuss
256,256,1197,Where did association football originate ?,England,19694,"Who was the elected person from German presidential election, 2009 ?",Horst Köhler
257,257,1452,What is the origin of association football ?,England,22238,"Which person was the successful candidate in London mayoral election, 2016 ?",Sadiq Khan
258,258,2182,Where did croquet originate ?,England,31905,Which Canadian federal general election was Liberal Party of Canada a successful candidate from ?,2015 Canadian federal election
259,259,8045,Which work of art originated in Tuvalu ?,ThuleTuvalu,32306,Where was Michelle Bachelet elected successfully from ?,"Chilean presidential election, 2013"
260,260,34418,Which enumeration has Europe as its place of origin ?,World Music Charts Europe,52503,Which is the election from where Conservative Party was elected from ?,2015 South Norfolk District Council election
261,261,50167,What originates at Kingdom of England ?,Shakespeare's sonnets,56201,Which general election had Mikhail Gorbachev as its successful candidate ?,1990 Russian Supreme Soviet election
262,262,386,Which male person has a child named Cao Mao ?,Cao Cao,57812,Which election was Shimon Peres elected from ?,2007 Israeli presidential election
263,263,729,"Who was the dad of Mary, Queen of Hungary ?",Louis I of Hungary,4727,Who was influenced by Carl Linnaeus ?,Clas Alströmer
264,264,843,Who was the father of Matsumoto Kio ?,Matsumoto Hakuō II,12292,Who was Ben Jonson an influence for ?,William Blake
265,265,868,Which male person was the parent of Felipe Alessandri Vergara ?,Gustavo Alessandri Valdés,21319,Who did Hillary Clinton influence ?,Leslie Knope
266,266,1216,Which person has Boris Brainin as dad ?,Valeri Brainin,34221,Who was the concept who influenced Jean-Charles Guichen ?,Celtic music
267,267,2096,Which fictional humanoid has Eli Vance as father ?,Alyx Vance,37105,Which person influenced Margaretha Roosenboom ?,Andreas Schelfhout
268,268,3014,Who has Karl Erich Hupka as a father ?,Herbert Hupka,38514,Who did Kevin Hart have an influence on ?,Jeremy Suarez
269,269,3473,Who is the offspring of François Cheng ?,Anne Cheng,53057,Which religious organization acted as an inflence on Baroque ?,Council of Trent
270,270,96,Who is the spouse of Maximilian of Hesse-Kassel ?,Friederike Charlotte of Hesse-Darmstadt,5947,Who had France as a source of inspiration ?,Aquilonia
271,271,486,Which person is married to Tarō Okada ?,Tanaka Minako,6721,What was inspired by Ghent Altarpiece ?,Altar
272,272,572,Which person has Francis A. Nixon as spouse ?,Hannah Milhous Nixon,11862,What was the source of inspiration for Frescoes in the Cartuja de Aula Dei ?,Life of the Virgin
273,273,1750,Which person is the life partner of Heshuo Princess Hewan ?,Deleke,16763,Which fictional location did France inspire ?,Aquilonia
274,274,25025,"Who is married to Philip I, Duke of Brabant ?",Yolande of Anjou,17311,What was Ursula inspired by ?,Divine
275,275,350,Which social group was Marc Pajot a member of ?,Académie de Marine,63602,What inspired Princess Jasmine ?,Jennifer Connelly
276,276,4331,Which German business organization had Ernst Küster as its member ?,German Academy of Sciences Leopoldina,6257,Which taxon is native to United States of America ?,Northern dwarf siren
277,277,8917,Which person is a member of Socialist Unity Party of Germany ?,Rudolf Hellmann,13672,Which taxon is endemic to United States of America ?,Northern dwarf siren
278,278,13908,Which is the person that is a part of Panasonic ?,Hirofumi Hirano,27962,Which taxon belongs to Japan ?,Hakuba salamander
279,279,19480,Which person has a membership of member of the European Parliament ?,Marcel Colla,3704,Which organization owns Sony Interactive Entertainment ?,Sony
280,280,507,What is France named after ?,Franks,13491,Which branch is the parent organization of Aeroflot ?,Government of Russia
281,281,606,Which social group is namesake of France ?,Franks,14674,Which transport company has Netherlands as parent organization ?,Nederlandse Spoorwegen
282,282,873,Which person has Noura bint Abdul Rahman Al Saud as its toponym ?,Nura bint Abdulaziz,26614,Which transport company is Netherlands a parent organization of ?,Nederlandse Spoorwegen
283,283,1680,Which fictional location is the origin of Australia ?,Terra Australis,37246,Which authority organ is owned by United States Congress ?,United States Government Publishing Office
284,284,1963,Which astronomical object type is named after Jelgava ?,24709 Mitau,3838,Which Magnetic confinement fusion was sponsored by United States of America ?,ITER
285,285,2019,Which rail transport is the eponym of Hungary ?,Hungaria (train),4831,Who did Russia sponsor ?,ITER
286,286,2204,Which geographic location is the etymology of United States of America ?,Americas,5609,Who backs Screening of Priority Chemicals for Reproductive Hazards ?,National Institute for Occupational Safety and Health
287,287,3479,Which day comes from Saint Barbara ?,St. Barbara Day,7735,Who is the sponsor for GNU Project ?,Free Software Foundation
288,288,32215,"Which person is namesake of Order of Saint Anna, 2nd class ?",Saint Anne,12008,Which transport company is the sponsor of UEFA Euro 2016 ?,SNCF
289,289,52639,Which fictional humanoid is namesake of Kyiv ?,Kyi,14733,Who funds 2015–16 Cypriot First Division ?,CYTA
290,290,2717,What is the name of television program starring Roland Eugen Beiküfner ?,Freiwild – Ein Würzburg-Krimi,24163,Who is the funder of 2015–16 Cypriot First Division ?,CYTA
291,291,3926,Which work of art has Dale Winton as actor ?,Trainspotting,2526,What industry does Heym belong to ?,manufacturing
292,292,10403,Which television program has Haruka Kodama in its star cast ?,AKB Love Night Koi Kōjō,5581,What is the industry Microsoft belongs to ?,technology industry
293,293,11135,Which person starred in Kaalai ?,Silambarasan Rajendar,7383,Which occupation is the industry to which Entertainment One belongs ?,entertainer
294,294,11812,Which person is in Time Changer ?,Gavin MacLeod,7684,What industry is Kraft Heinz Company a part of ?,food processing
295,295,15007,Which person was casted in The System ?,Frank Lovejoy,10823,Who belongs to the industry lawyer ?,private law
296,296,56811,Which television program does Lee Tae-hwan star in ?,Splendid Politics,4238,Which work of art has France as its commisioner ?,The Kiss
297,297,908,Which article has Robert Brough Smyth as its main topic ?,"Smyth, Robert Brough",13657,Which building was commissioned by Germany ?,Presse- und Informationsamt der Bundesregierung (Bonn)
298,298,2374,Which article was mainly based on Colquhoun Grant ?,"Grant, Colquhoun (1764?-1835) (DNB00)",14051,What did France commission ?,Chanteur florentin du XVe siècle
299,299,3300,What was the main subject of Le Chasseur Zéro 's work ?,World War II,16990,What was commisioned by Switzerland ?,"Embassy of Switzerland, Bonn"
300,300,3957,Which collectable is piano a main subject of ?,The Piano: An Encyclopedia,19248,Which building was approved by Christian Democratic Union ?,Konrad-Adenauer-Haus
301,301,12612,What was Dino Time mainly about ?,dinosaur,33857,Who was the person who commissioned Nymph with a Scorpion ?,"Charles de Beauvau, Prince of Beauvau"
302,302,31169,What topic was discussed in Mare Nostrum ?,submarine warfare,45568,Who did the commissioning of Milo of Croton ?,Jean-Baptiste Colbert
303,303,2603,Which person has Cincinnati as its head of government ?,John Cranley,1089,What is the health problem that afflicts Homo sapiens ?,Aicardi syndrome
304,304,2826,Which person is the head of government of Amsterdam ?,Eberhard van der Laan,1899,Which health problem afflicts Homo sapiens ?,Aicardi syndrome
305,305,2889,Which person is Japan the head of goverment of ?,Shinzō Abe,9711,Which health problem can afflict Homo sapiens ?,Aicardi syndrome
306,306,11076,Which french administrative division has a government lead by Michel Moly ?,Collioure,50019,Which taxon afflicts cat ?,Dirofilaria repens
307,307,57865,Which state has its government headed by Hans Ehard ?,Bavaria,31747,Which health problem is sotalol a medication for ?,atrial fibrillation
308,308,289,Which person works for Boston Red Sox ?,John Farrell,33625,Which drug is used as a medication for stroke ?,pentoxifylline
309,309,808,Which nonprofit organization is the employer of John R. Huizenga ?,University of Rochester,38289,Which medical procedure is used for treatment of tuberculosis ?,artificial pneumothorax
310,310,1137,Which building is the workplace of Abraham Remy ?,Collège de France,39380,Which disease is treated with amiodarone ?,heart arrhythmia
311,311,3987,Which collection does Taddeo Ugoletti work for ?,Bibliotheca Corviniana,44974,Which drug is prescribed for peroxisomal disease ?,cholic acid
312,312,4558,Which person has Stanford Cardinal as its employer ?,Edrick Floreal,2230,Which special field does Whig Party believe in ?,liberalism
313,313,6913,Which person is working for Conservative Party ?,Olivia Bloomfield,18416,Which special field is the ideology of Freedom and Solidarity ?,liberalism
314,314,9143,Which university employs Hugo Huber ?,University of Fribourg,4457,What was used as the method of distribution of Ninja Gaiden II: The Dark Sword of Chaos ?,ROM cartridge
315,315,11544,Which German business organization employs Wilhelm Doenniges ?,Humboldt University of Berlin,6925,What is the name that was distributed via Spain ?,Fonseca
316,316,13967,Which facility employs Friedrich Maurer ?,Ahnenerbe,12372,What was the means of distributing Alien Breed: Tower Assault ?,floppy disk
317,317,27541,Which museum employs Charles Sadoul ?,Musée Lorrain,24652,Which name was distributed as Spain ?,Fonseca
318,318,30008,Which building employs Paul Demiéville ?,Collège de France,37393,What was application that used Game Boy Advance as a means of distribution ?,Hey Arnold!: The Movie
319,319,31022,Which authority organ employs Ernest Henry Nickel ?,Commonwealth Scientific and Industrial Research Organisation,2519,What is the main use of dog ?,service animal
320,320,54283,Which newspaper employs Elizabeth Azcona Cranwell ?,La Nación,3440,Which cultural property has its main use as Roman Catholic Church ?,convento de los Agustinos
321,321,57925,Which business enterprise employs Teruo Hamaie ?,RSK Sanyo Broadcasting,19660,What is considered as the main functionality of horse ?,equestrianism
322,322,373,Which administrative territory is called the capital of Russian Empire ?,Moscow,39297,Which type of sport is considered to be the main utilization of horse ?,equestrianism
323,323,723,Which french administrative division has Bar-sur-Seine as its administrative centre ?,canton of Bar-sur-Seine,42436,Which kitchen utensil is mainly used as cocaine ?,cocaine spoon
324,324,5189,Which administrative territory contains Ouagadougou as its capital ?,Burkina Faso,51172,Which person has its main functionality as bishop ?,Jevhen Hakman
325,325,6994,Which human settlement is associated to East Germany as the capital ?,East Berlin,5637,What does Kalki Krishnamurthy suffer from ?,cancer
326,326,8833,Which administrative country subdivision is Stolin the capital of ?,Stolin District,12496,What is Franz Pforr affected by ?,tuberculosis
